,actual,original_pattern
0,activity_01-activity_02-activity_03-activity_07,activity_01-activity_02-activity_03-activity_07
1,activity_01-activity_02-activity_03-activity_07,activity_01-activity_02-activity_03-activity_07
2,activity_01-activity_02-activity_03-activity_07,activity_01-activity_02-activity_03-activity_07
3,activity_01-activity_02-activity_03-activity_07,activity_01-activity_02-activity_03-activity_07
4,activity_01-activity_02-activity_03-activity_07,activity_01-activity_02-activity_03-activity_07
5,activity_01-activity_02-activity_03-activity_07,activity_01-activity_02-activity_03-activity_07
6,activity_01-activity_02-activity_03-activity_07,activity_01-activity_02-activity_03-activity_07
7,activity_01-activity_02-activity_03-activity_07,activity_01-activity_02-activity_03-activity_07
8,activity_01-activity_02-activity_03-activity_07,activity_01-activity_02-activity_03-activity_07
9,activity_01-activity_02-activity_03-activity_07,activity_01-activity_02-activity_03-activity_07
10,activity_01-activity_02-activity_03-activity_07,activity_01-activity_02-activity_03-activity_07
11,activity_01-activity_02-activity_03-activity_07,activity_01-activity_02-activity_03-activity_07
12,activity_01-activity_02-activity_03-activity_07,activity_01-activity_02-activity_03-activity_07
13,activity_01-activity_02-activity_03-activity_07,activity_01-activity_02-activity_03-activity_07
14,activity_01-activity_02-activity_03-activity_07,activity_01-activity_02-activity_03-activity_07
15,activity_01-activity_02-activity_03-activity_07,activity_01-activity_02-activity_03-activity_07
16,activity_01-activity_02-activity_03-activity_07,activity_01-activity_02-activity_03-activity_07
17,activity_01-activity_02-activity_03-activity_07,activity_01-activity_02-activity_03-activity_07
18,activity_01-activity_02-activity_03-activity_07,activity_01-activity_02-activity_03-activity_07
19,activity_01-activity_02-activity_03-activity_07,activity_01-activity_02-activity_03-activity_07
20,activity_01-activity_02-activity_03-activity_07,activity_01-activity_02-activity_03-activity_07
21,activity_01-activity_02-activity_03-activity_07,activity_01-activity_02-activity_03-activity_07
22,activity_01-activity_02-activity_03-activity_07,activity_01-activity_02-activity_03-activity_07
23,activity_01-activity_02-activity_03-activity_07,activity_01-activity_02-activity_03-activity_07
24,activity_01-activity_02-activity_03-activity_07,activity_01-activity_02-activity_03-activity_07
25,activity_01-activity_02-activity_03-activity_07,activity_01-activity_02-activity_03-activity_07
26,activity_01-activity_02-activity_03-activity_07,activity_01-activity_02-activity_03-activity_07
27,activity_01-activity_02-activity_03-activity_07,activity_01-activity_02-activity_03-activity_07
28,activity_01-activity_02-activity_03-activity_07,activity_01-activity_02-activity_03-activity_07
29,activity_01-activity_02-activity_03-activity_07,activity_01-activity_02-activity_03-activity_07
30,activity_01-activity_02-activity_03-activity_07,activity_01-activity_02-activity_03-activity_07
31,activity_01-activity_02-activity_03-activity_07,activity_01-activity_02-activity_03-activity_07
32,activity_01-activity_02-activity_03-activity_07,activity_01-activity_02-activity_03-activity_07
33,activity_01-activity_02-activity_03-activity_07,activity_01-activity_02-activity_03-activity_07
34,activity_01-activity_02-activity_03-activity_07,activity_01-activity_02-activity_03-activity_07
35,activity_01-activity_02-activity_03-activity_07,activity_01-activity_02-activity_03-activity_07
36,activity_01-activity_02-activity_03-activity_07,activity_01-activity_02-activity_03-activity_07
37,activity_01-activity_02-activity_03-activity_07,activity_01-activity_02-activity_03-activity_07
38,activity_01-activity_02-activity_03-activity_07,activity_01-activity_02-activity_03-activity_07
39,activity_01-activity_02-activity_03-activity_07,activity_01-activity_02-activity_03-activity_07
40,activity_01-activity_02-activity_03-activity_07,activity_01-activity_02-activity_03-activity_07
41,activity_01-activity_02-activity_03-activity_07,activity_01-activity_02-activity_03-activity_07
42,activity_01-activity_02-activity_03-activity_07,activity_01-activity_02-activity_03-activity_07
43,activity_01-activity_02-activity_03-activity_07,activity_01-activity_02-activity_03-activity_07
44,activity_01-activity_02-activity_03-activity_07,activity_01-activity_02-activity_03-activity_07
45,activity_01-activity_02-activity_03-activity_07,activity_01-activity_02-activity_03-activity_07
46,activity_01-activity_02-activity_03-activity_07,activity_01-activity_02-activity_03-activity_07
47,activity_01-activity_02-activity_03-activity_07,activity_01-activity_02-activity_03-activity_07
48,activity_01-activity_02-activity_03-activity_07,activity_01-activity_02-activity_03-activity_07
49,activity_01-activity_02-activity_03-activity_07,activity_01-activity_02-activity_03-activity_07
50,activity_01-activity_02-activity_03-activity_07,activity_01-activity_02-activity_03-activity_07
51,activity_01-activity_02-activity_03-activity_07,activity_01-activity_02-activity_03-activity_07
52,activity_01-activity_02-activity_03-activity_07,activity_01-activity_02-activity_03-activity_07
53,activity_01-activity_02-activity_03-activity_07,activity_01-activity_02-activity_03-activity_07
54,activity_01-activity_02-activity_03-activity_07,activity_01-activity_02-activity_03-activity_07
55,activity_01-activity_02-activity_03-activity_07,activity_01-activity_02-activity_03-activity_07
56,activity_01-activity_02-activity_03-activity_07,activity_01-activity_02-activity_03-activity_07
57,activity_01-activity_02-activity_03-activity_07,activity_01-activity_02-activity_03-activity_07
58,activity_01-activity_02-activity_03-activity_07,activity_01-activity_02-activity_03-activity_07
59,activity_01-activity_02-activity_03-activity_07,activity_01-activity_02-activity_03-activity_07
60,activity_01-activity_02-activity_03-activity_07,activity_01-activity_02-activity_03-activity_07
61,activity_01-activity_02-activity_03-activity_07,activity_01-activity_02-activity_03-activity_07
62,activity_01-activity_02-activity_03-activity_07,activity_01-activity_02-activity_03-activity_07
63,activity_01-activity_02-activity_03-activity_07,activity_01-activity_02-activity_03-activity_07
64,activity_01-activity_02-activity_03-activity_07,activity_01-activity_02-activity_03-activity_07
65,activity_01-activity_02-activity_03-activity_07,activity_01-activity_02-activity_03-activity_07
66,activity_01-activity_02-activity_03-activity_07,activity_01-activity_02-activity_03-activity_07
67,activity_01-activity_02-activity_03-activity_07,activity_01-activity_02-activity_03-activity_07
68,activity_01-activity_02-activity_03-activity_07,activity_01-activity_02-activity_03-activity_07
69,activity_01-activity_02-activity_03-activity_07,activity_01-activity_02-activity_03-activity_07
70,activity_01-activity_02-activity_03-activity_07,activity_01-activity_02-activity_03-activity_07
71,activity_01-activity_02-activity_03-activity_07,activity_01-activity_02-activity_03-activity_07
72,activity_01-activity_02-activity_03-activity_07,activity_01-activity_02-activity_03-activity_07
73,activity_01-activity_02-activity_03-activity_07,activity_01-activity_02-activity_03-activity_07
74,activity_01-activity_02-activity_03-activity_07,activity_01-activity_02-activity_03-activity_07
75,activity_01-activity_02-activity_03-activity_07,activity_01-activity_02-activity_03-activity_07
76,activity_01-activity_02-activity_03-activity_07,activity_01-activity_02-activity_03-activity_07
77,activity_01-activity_02-activity_03-activity_07,activity_01-activity_02-activity_03-activity_07
78,activity_01-activity_02-activity_03-activity_07,activity_01-activity_02-activity_03-activity_07
79,activity_01-activity_02-activity_03-activity_07,activity_01-activity_02-activity_03-activity_07
80,activity_01-activity_02-activity_03-activity_07,activity_01-activity_02-activity_03-activity_07
81,activity_01-activity_02-activity_03-activity_07,activity_01-activity_02-activity_03-activity_07
82,activity_01-activity_02-activity_03-activity_07,activity_01-activity_02-activity_03-activity_07
83,activity_01-activity_02-activity_03-activity_07,activity_01-activity_02-activity_03-activity_07
84,activity_01-activity_02-activity_03-activity_07,activity_01-activity_02-activity_03-activity_07
85,activity_01-activity_02-activity_03-activity_07,activity_01-activity_02-activity_03-activity_07
86,activity_01-activity_02-activity_03-activity_07,activity_01-activity_02-activity_03-activity_07
87,activity_01-activity_02-activity_03-activity_07,activity_01-activity_02-activity_03-activity_07
88,activity_01-activity_02-activity_03-activity_07,activity_01-activity_02-activity_03-activity_07
89,activity_01-activity_02-activity_03-activity_07,activity_01-activity_02-activity_03-activity_07
90,activity_01-activity_02-activity_03-activity_07,activity_01-activity_02-activity_03-activity_07
91,activity_01-activity_02-activity_03-activity_07,activity_01-activity_02-activity_03-activity_07
92,activity_01-activity_02-activity_03-activity_07,activity_01-activity_02-activity_03-activity_07
93,activity_01-activity_02-activity_03-activity_07,activity_01-activity_02-activity_03-activity_07
94,activity_01-activity_02-activity_03-activity_07,activity_01-activity_02-activity_03-activity_07
95,activity_01-activity_02-activity_03-activity_07,activity_01-activity_02-activity_03-activity_07
96,activity_01-activity_02-activity_03-activity_07,activity_01-activity_02-activity_03-activity_07
97,activity_01-activity_02-activity_03-activity_07,activity_01-activity_02-activity_03-activity_07
98,activity_01-activity_02-activity_03-activity_07,activity_01-activity_02-activity_03-activity_07
99,activity_01-activity_02-activity_03-activity_07,activity_01-activity_02-activity_03-activity_07
100,activity_04-activity_01-activity_02-activity_03-activity_04,activity_04-activity_01-activity_02-activity_03-activity_04
101,activity_04-activity_01-activity_02-activity_03-activity_04,activity_04-activity_01-activity_02-activity_03-activity_04
102,activity_04-activity_01-activity_02-activity_03-activity_04,activity_04-activity_01-activity_02-activity_03-activity_04
103,activity_04-activity_01-activity_02-activity_03-activity_04,activity_04-activity_01-activity_02-activity_03-activity_04
104,activity_04-activity_01-activity_02-activity_03-activity_04,activity_04-activity_01-activity_02-activity_03-activity_04
