"trace_id","activities","owner","income"
"0","activity_02","yes","low"
"0","activity_03","yes","low"
"0","activity_01","yes","low"
"0","activity_01","yes","low"
"0","activity_01","yes","low"
"1","activity_02","yes","high"
"1","activity_03","yes","high"
"1","activity_01","yes","high"
"1","activity_01","yes","high"
"1","activity_01","yes","high"
"2","activity_01","yes","high"
"2","activity_01","yes","high"
"2","activity_01","yes","high"
"3","activity_03","no","high"
"3","activity_02","no","high"
"3","activity_01","no","high"
"3","activity_01","no","high"
"3","activity_01","no","high"
"4","activity_02","no","high"
"4","noise_4","no","high"
"4","activity_03","no","high"
"4","activity_01","no","high"
"4","activity_01","no","high"
"4","activity_01","no","high"
"5","activity_04","no","low"
"5","activity_03","no","low"
"5","activity_01","no","low"
"6","activity_02","no","high"
"6","activity_03","no","high"
"6","activity_01","no","high"
"6","activity_01","no","high"
"6","activity_01","no","high"
"7","activity_03","yes","high"
"7","activity_01","yes","high"
"7","activity_01","yes","high"
"7","activity_01","yes","high"
"8","activity_02","yes","high"
"8","activity_03","yes","high"
"8","activity_01","yes","high"
"8","activity_01","yes","high"
"8","activity_01","yes","high"
"9","activity_01","yes","middle"
"9","activity_01","yes","middle"
"9","activity_02","yes","middle"
