"trace_id","activities","owner","income","g"
"0","activity_02","no","high","activity_02__+__activity_03__+__activity_01__+__activity_01__+__activity_01"
"0","activity_03","no","high","activity_02__+__activity_03__+__activity_01__+__activity_01__+__activity_01"
"0","activity_01","no","high","activity_02__+__activity_03__+__activity_01__+__activity_01__+__activity_01"
"0","activity_01","no","high","activity_02__+__activity_03__+__activity_01__+__activity_01__+__activity_01"
"0","activity_01","no","high","activity_02__+__activity_03__+__activity_01__+__activity_01__+__activity_01"
"1","activity_02","yes","high","activity_02__+__activity_03__+__activity_01__+__activity_01__+__activity_01"
"1","activity_03","yes","high","activity_02__+__activity_03__+__activity_01__+__activity_01__+__activity_01"
"1","activity_01","yes","high","activity_02__+__activity_03__+__activity_01__+__activity_01__+__activity_01"
"1","activity_01","yes","high","activity_02__+__activity_03__+__activity_01__+__activity_01__+__activity_01"
"1","activity_01","yes","high","activity_02__+__activity_03__+__activity_01__+__activity_01__+__activity_01"
"2","activity_02","yes","high","activity_02__+__activity_03__+__activity_01__+__activity_01__+__activity_01"
"2","activity_03","yes","high","activity_02__+__activity_03__+__activity_01__+__activity_01__+__activity_01"
"2","activity_01","yes","high","activity_02__+__activity_03__+__activity_01__+__activity_01__+__activity_01"
"2","activity_01","yes","high","activity_02__+__activity_03__+__activity_01__+__activity_01__+__activity_01"
"2","activity_01","yes","high","activity_02__+__activity_03__+__activity_01__+__activity_01__+__activity_01"
"3","activity_02","no","high","activity_02__+__activity_03__+__activity_01__+__activity_01__+__activity_01"
"3","activity_03","no","high","activity_02__+__activity_03__+__activity_01__+__activity_01__+__activity_01"
"3","activity_01","no","high","activity_02__+__activity_03__+__activity_01__+__activity_01__+__activity_01"
"3","activity_01","no","high","activity_02__+__activity_03__+__activity_01__+__activity_01__+__activity_01"
"3","activity_01","no","high","activity_02__+__activity_03__+__activity_01__+__activity_01__+__activity_01"
"4","activity_04","no","low","activity_04__+__activity_03__+__activity_01"
"4","activity_03","no","low","activity_04__+__activity_03__+__activity_01"
"4","activity_01","no","low","activity_04__+__activity_03__+__activity_01"
"5","activity_02","no","high","activity_02__+__activity_03__+__activity_01__+__activity_01__+__activity_01"
"5","activity_01","no","high","activity_02__+__activity_03__+__activity_01__+__activity_01__+__activity_01"
"5","activity_01","no","high","activity_02__+__activity_03__+__activity_01__+__activity_01__+__activity_01"
"5","activity_01","no","high","activity_02__+__activity_03__+__activity_01__+__activity_01__+__activity_01"
"5","noise_2","no","high","activity_02__+__activity_03__+__activity_01__+__activity_01__+__activity_01"
"6","activity_02","yes","high","activity_02__+__activity_03__+__activity_01__+__activity_01__+__activity_01"
"6","activity_03","yes","high","activity_02__+__activity_03__+__activity_01__+__activity_01__+__activity_01"
"6","activity_01","yes","high","activity_02__+__activity_03__+__activity_01__+__activity_01__+__activity_01"
"6","activity_01","yes","high","activity_02__+__activity_03__+__activity_01__+__activity_01__+__activity_01"
"6","activity_01","yes","high","activity_02__+__activity_03__+__activity_01__+__activity_01__+__activity_01"
"7","activity_02","yes","high","activity_02__+__activity_03__+__activity_01__+__activity_01__+__activity_01"
"7","activity_03","yes","high","activity_02__+__activity_03__+__activity_01__+__activity_01__+__activity_01"
"7","activity_01","yes","high","activity_02__+__activity_03__+__activity_01__+__activity_01__+__activity_01"
"7","activity_01","yes","high","activity_02__+__activity_03__+__activity_01__+__activity_01__+__activity_01"
"7","activity_01","yes","high","activity_02__+__activity_03__+__activity_01__+__activity_01__+__activity_01"
"8","activity_02","no","high","activity_02__+__activity_03__+__activity_01__+__activity_01__+__activity_01"
"8","activity_03","no","high","activity_02__+__activity_03__+__activity_01__+__activity_01__+__activity_01"
"8","activity_01","no","high","activity_02__+__activity_03__+__activity_01__+__activity_01__+__activity_01"
"8","activity_01","no","high","activity_02__+__activity_03__+__activity_01__+__activity_01__+__activity_01"
"8","activity_01","no","high","activity_02__+__activity_03__+__activity_01__+__activity_01__+__activity_01"
"9","activity_01","yes","middle","activity_01__+__activity_01__+__activity_02"
"9","activity_01","yes","middle","activity_01__+__activity_01__+__activity_02"
"9","activity_02","yes","middle","activity_01__+__activity_01__+__activity_02"
