"trace_id","activities","owner","employed","car_owner","income","g"
"0","activity_04","yes","no","no","low","activity_04__+__activity_05__+__activity_10__+__activity_11__+__activity_11"
"0","activity_05","yes","no","no","low","activity_04__+__activity_05__+__activity_10__+__activity_11__+__activity_11"
"0","activity_10","yes","no","no","low","activity_04__+__activity_05__+__activity_10__+__activity_11__+__activity_11"
"0","activity_11","yes","no","no","low","activity_04__+__activity_05__+__activity_10__+__activity_11__+__activity_11"
"0","activity_11","yes","no","no","low","activity_04__+__activity_05__+__activity_10__+__activity_11__+__activity_11"
"1","activity_05","no","no","yes","high","activity_05__+__activity_05__+__activity_06__+__activity_07"
"1","activity_05","no","no","yes","high","activity_05__+__activity_05__+__activity_06__+__activity_07"
"1","activity_06","no","no","yes","high","activity_05__+__activity_05__+__activity_06__+__activity_07"
"1","activity_07","no","no","yes","high","activity_05__+__activity_05__+__activity_06__+__activity_07"
"2","activity_04","yes","no","no","middle","activity_04__+__activity_05__+__activity_10__+__activity_11__+__activity_11"
"2","activity_05","yes","no","no","middle","activity_04__+__activity_05__+__activity_10__+__activity_11__+__activity_11"
"2","activity_10","yes","no","no","middle","activity_04__+__activity_05__+__activity_10__+__activity_11__+__activity_11"
"2","activity_11","yes","no","no","middle","activity_04__+__activity_05__+__activity_10__+__activity_11__+__activity_11"
"2","activity_11","yes","no","no","middle","activity_04__+__activity_05__+__activity_10__+__activity_11__+__activity_11"
"3","activity_08","yes","yes","no","low","activity_08__+__activity_09__+__activity_08__+__activity_06"
"3","activity_09","yes","yes","no","low","activity_08__+__activity_09__+__activity_08__+__activity_06"
"3","activity_08","yes","yes","no","low","activity_08__+__activity_09__+__activity_08__+__activity_06"
"3","activity_06","yes","yes","no","low","activity_08__+__activity_09__+__activity_08__+__activity_06"
"4","activity_02","no","yes","yes","middle","activity_02__+__activity_01__+__activity_03__+__activity_04__+__activity_01__+__activity_03__+__activity_03"
"4","activity_01","no","yes","yes","middle","activity_02__+__activity_01__+__activity_03__+__activity_04__+__activity_01__+__activity_03__+__activity_03"
"4","activity_03","no","yes","yes","middle","activity_02__+__activity_01__+__activity_03__+__activity_04__+__activity_01__+__activity_03__+__activity_03"
"4","activity_04","no","yes","yes","middle","activity_02__+__activity_01__+__activity_03__+__activity_04__+__activity_01__+__activity_03__+__activity_03"
"4","activity_01","no","yes","yes","middle","activity_02__+__activity_01__+__activity_03__+__activity_04__+__activity_01__+__activity_03__+__activity_03"
"4","activity_03","no","yes","yes","middle","activity_02__+__activity_01__+__activity_03__+__activity_04__+__activity_01__+__activity_03__+__activity_03"
"4","activity_03","no","yes","yes","middle","activity_02__+__activity_01__+__activity_03__+__activity_04__+__activity_01__+__activity_03__+__activity_03"
"5","activity_08","yes","yes","no","low","activity_08__+__activity_09__+__activity_08__+__activity_06"
"5","activity_09","yes","yes","no","low","activity_08__+__activity_09__+__activity_08__+__activity_06"
"5","activity_08","yes","yes","no","low","activity_08__+__activity_09__+__activity_08__+__activity_06"
"5","activity_06","yes","yes","no","low","activity_08__+__activity_09__+__activity_08__+__activity_06"
"6","activity_02","no","yes","yes","middle","activity_02__+__activity_01__+__activity_03__+__activity_04__+__activity_01__+__activity_03__+__activity_03"
"6","activity_01","no","yes","yes","middle","activity_02__+__activity_01__+__activity_03__+__activity_04__+__activity_01__+__activity_03__+__activity_03"
"6","activity_03","no","yes","yes","middle","activity_02__+__activity_01__+__activity_03__+__activity_04__+__activity_01__+__activity_03__+__activity_03"
"6","activity_04","no","yes","yes","middle","activity_02__+__activity_01__+__activity_03__+__activity_04__+__activity_01__+__activity_03__+__activity_03"
