"trace_id","activities","employed","age","income"
"0","activity_04","yes","40-59yo","middle"
"0","noise_4","yes","40-59yo","middle"
"0","activity_01","yes","40-59yo","middle"
"0","activity_04","yes","40-59yo","middle"
"0","activity_02","yes","40-59yo","middle"
"1","activity_03","yes","0-19yo","low"
"1","activity_01","yes","0-19yo","low"
"1","activity_05","yes","0-19yo","low"
"2","activity_03","no","20-39yo","middle"
"2","activity_03","no","20-39yo","middle"
"3","activity_04","yes","80yo+","high"
"3","activity_02","yes","80yo+","high"
"3","activity_03","yes","80yo+","high"
"3","activity_05","yes","80yo+","high"
"4","activity_05","yes","0-19yo","low"
"4","activity_01","yes","0-19yo","low"
"4","activity_03","yes","0-19yo","low"
"5","activity_03","yes","20-39yo","middle"
"5","activity_01","yes","20-39yo","middle"
"5","activity_03","yes","20-39yo","middle"
"5","activity_05","yes","20-39yo","middle"
"6","activity_02","yes","20-39yo","high"
"6","activity_01","yes","20-39yo","high"
"6","activity_02","yes","20-39yo","high"
"6","activity_03","yes","20-39yo","high"
"6","activity_07","yes","20-39yo","high"
"7","activity_04","yes","40-59yo","high"
"7","activity_01","yes","40-59yo","high"
"7","activity_02","yes","40-59yo","high"
"7","activity_03","yes","40-59yo","high"
"7","activity_04","yes","40-59yo","high"
"8","activity_05","no","40-59yo","high"
"8","activity_02","no","40-59yo","high"
"8","noise_3","no","40-59yo","high"
"8","activity_04","no","40-59yo","high"
"8","activity_01","no","40-59yo","high"
"9","activity_03","no","80yo+","middle"
"9","activity_01","no","80yo+","middle"
"9","activity_03","no","80yo+","middle"
"9","activity_05","no","80yo+","middle"
"10","activity_04","no","60-79yo","high"
"10","activity_05","no","60-79yo","high"
"10","activity_02","no","60-79yo","high"
"11","activity_03","no","80yo+","middle"
"11","activity_01","no","80yo+","middle"
"11","activity_05","no","80yo+","middle"
"11","activity_03","no","80yo+","middle"
"11","activity_05","no","80yo+","middle"
"12","activity_04","yes","40-59yo","high"
"12","activity_02","yes","40-59yo","high"
"12","activity_03","yes","40-59yo","high"
"12","activity_04","yes","40-59yo","high"
"13","activity_05","yes","80yo+","middle"
"13","activity_02","yes","80yo+","middle"
"13","activity_04","yes","80yo+","middle"
"13","activity_01","yes","80yo+","middle"
"14","activity_03","no","80yo+","middle"
"14","activity_01","no","80yo+","middle"
"14","activity_03","no","80yo+","middle"
"15","noise_1","yes","0-19yo","middle"
"15","noise_3","yes","0-19yo","middle"
"15","activity_03","yes","0-19yo","middle"
"15","activity_03","yes","0-19yo","middle"
"15","activity_05","yes","0-19yo","middle"
"16","activity_02","yes","60-79yo","high"
"16","activity_04","yes","60-79yo","high"
"16","noise_0","yes","60-79yo","high"
"16","activity_03","yes","60-79yo","high"
"16","activity_04","yes","60-79yo","high"
"17","activity_03","yes","0-19yo","low"
"17","activity_01","yes","0-19yo","low"
"17","activity_03","yes","0-19yo","low"
"17","activity_05","yes","0-19yo","low"
"18","activity_03","yes","0-19yo","low"
"18","activity_01","yes","0-19yo","low"
"18","activity_05","yes","0-19yo","low"
"18","noise_1","yes","0-19yo","low"
"18","activity_03","yes","0-19yo","low"
"19","activity_02","no","40-59yo","low"
"19","activity_03","no","40-59yo","low"
"19","noise_2","no","40-59yo","low"
"19","activity_01","no","40-59yo","low"
"19","activity_07","no","40-59yo","low"
"20","activity_03","yes","60-79yo","middle"
"20","activity_01","yes","60-79yo","middle"
"20","noise_0","yes","60-79yo","middle"
"20","activity_07","yes","60-79yo","middle"
"20","activity_05","yes","60-79yo","middle"
"21","noise_2","no","60-79yo","high"
"21","activity_05","no","60-79yo","high"
"21","activity_02","no","60-79yo","high"
"21","activity_04","no","60-79yo","high"
"22","activity_04","yes","0-19yo","low"
"22","activity_07","yes","0-19yo","low"
"22","activity_02","yes","0-19yo","low"
"22","activity_05","yes","0-19yo","low"
"22","activity_01","yes","0-19yo","low"
"23","activity_04","yes","60-79yo","low"
"23","activity_01","yes","60-79yo","low"
"24","activity_02","yes","20-39yo","low"
"24","activity_05","yes","20-39yo","low"
"24","activity_01","yes","20-39yo","low"
"25","activity_04","no","60-79yo","middle"
"25","activity_01","no","60-79yo","middle"
"25","activity_02","no","60-79yo","middle"
"25","activity_03","no","60-79yo","middle"
"25","activity_04","no","60-79yo","middle"
"26","activity_05","yes","80yo+","middle"
"26","activity_03","yes","80yo+","middle"
"26","activity_05","yes","80yo+","middle"
"26","noise_0","yes","80yo+","middle"
"26","activity_03","yes","80yo+","middle"
"26","activity_05","yes","80yo+","middle"
"27","activity_01","no","80yo+","low"
"27","activity_02","no","80yo+","low"
"27","activity_04","no","80yo+","low"
"27","activity_03","no","80yo+","low"
"28","activity_01","yes","0-19yo","low"
"28","activity_02","yes","0-19yo","low"
"28","activity_03","yes","0-19yo","low"
"28","activity_07","yes","0-19yo","low"
"29","activity_03","no","80yo+","middle"
"29","activity_01","no","80yo+","middle"
"29","activity_03","no","80yo+","middle"
"29","activity_05","no","80yo+","middle"
"30","activity_01","no","20-39yo","middle"
"30","activity_05","no","20-39yo","middle"
"31","activity_05","no","60-79yo","high"
"31","activity_02","no","60-79yo","high"
"31","activity_07","no","60-79yo","high"
"31","noise_0","no","60-79yo","high"
"31","activity_04","no","60-79yo","high"
"31","activity_01","no","60-79yo","high"
"32","activity_05","yes","0-19yo","low"
"32","activity_02","yes","0-19yo","low"
"32","activity_04","yes","0-19yo","low"
"32","activity_01","yes","0-19yo","low"
"33","activity_01","yes","20-39yo","middle"
"33","activity_05","yes","20-39yo","middle"
"33","activity_02","yes","20-39yo","middle"
"33","activity_04","yes","20-39yo","middle"
"34","activity_01","no","0-19yo","middle"
"34","activity_03","no","0-19yo","middle"
"34","activity_07","no","0-19yo","middle"
"34","activity_03","no","0-19yo","middle"
"34","activity_05","no","0-19yo","middle"
"35","activity_03","yes","0-19yo","high"
"35","activity_01","yes","0-19yo","high"
"36","activity_03","yes","0-19yo","high"
"36","noise_4","yes","0-19yo","high"
"36","activity_03","yes","0-19yo","high"
"36","activity_02","yes","0-19yo","high"
"36","activity_05","yes","0-19yo","high"
"36","activity_01","yes","0-19yo","high"
"37","activity_01","yes","20-39yo","low"
"37","activity_02","yes","20-39yo","low"
"37","activity_03","yes","20-39yo","low"
"37","activity_07","yes","20-39yo","low"
"38","activity_03","no","80yo+","high"
"38","activity_03","no","80yo+","high"
"38","activity_01","no","80yo+","high"
"38","activity_05","no","80yo+","high"
"39","activity_02","no","60-79yo","middle"
"39","noise_1","no","60-79yo","middle"
"39","activity_03","no","60-79yo","middle"
"39","activity_07","no","60-79yo","middle"
"40","activity_01","yes","20-39yo","high"
"40","activity_02","yes","20-39yo","high"
"40","activity_03","yes","20-39yo","high"
"40","activity_05","yes","20-39yo","high"
"40","activity_07","yes","20-39yo","high"
"41","activity_05","no","80yo+","middle"
"41","activity_03","no","80yo+","middle"
