"trace_id","activities","owner","employed","car_owner","income"
"0","activity_08","no","yes","yes","middle"
"0","activity_09","no","yes","yes","middle"
"0","activity_03","no","yes","yes","middle"
"1","activity_08","no","yes","yes","middle"
"1","activity_09","no","yes","yes","middle"
"1","activity_03","no","yes","yes","middle"
"2","activity_08","no","yes","yes","middle"
"2","activity_09","no","yes","yes","middle"
"2","activity_03","no","yes","yes","middle"
"3","activity_08","no","yes","yes","middle"
"3","activity_09","no","yes","yes","middle"
"3","activity_03","no","yes","yes","middle"
"4","activity_02","no","no","yes","low"
"4","activity_01","no","no","yes","low"
"4","activity_02","no","no","yes","low"
"4","activity_08","no","no","yes","low"
"5","activity_08","no","yes","yes","middle"
"5","activity_09","no","yes","yes","middle"
"5","activity_03","no","yes","yes","middle"
"6","activity_08","no","yes","yes","middle"
"6","activity_09","no","yes","yes","middle"
"6","activity_03","no","yes","yes","middle"
"7","activity_06","yes","yes","no","high"
"7","activity_07","yes","yes","no","high"
"7","activity_02","yes","yes","no","high"
"7","activity_01","yes","yes","no","high"
"7","activity_02","yes","yes","no","high"
"7","activity_03","yes","yes","no","high"
"8","activity_08","no","yes","yes","middle"
"8","activity_09","no","yes","yes","middle"
"8","activity_03","no","yes","yes","middle"
"9","activity_08","no","yes","yes","middle"
"9","activity_09","no","yes","yes","middle"
"9","activity_03","no","yes","yes","middle"
"10","activity_06","yes","yes","no","high"
"10","activity_07","yes","yes","no","high"
"10","activity_02","yes","yes","no","high"
"10","activity_01","yes","yes","no","high"
"10","activity_02","yes","yes","no","high"
"10","activity_03","yes","yes","no","high"
"11","activity_08","no","yes","yes","middle"
"11","activity_09","no","yes","yes","middle"
"11","activity_03","no","yes","yes","middle"
"12","activity_08","no","yes","yes","middle"
"12","activity_09","no","yes","yes","middle"
"12","activity_03","no","yes","yes","middle"
"13","activity_08","no","yes","yes","middle"
"13","activity_09","no","yes","yes","middle"
"13","activity_03","no","yes","yes","middle"
"14","activity_08","no","yes","yes","middle"
"14","activity_09","no","yes","yes","middle"
"14","activity_03","no","yes","yes","middle"
"15","activity_08","no","yes","yes","middle"
"15","activity_09","no","yes","yes","middle"
"15","activity_03","no","yes","yes","middle"
"16","activity_08","no","yes","yes","middle"
"16","activity_09","no","yes","yes","middle"
"16","activity_03","no","yes","yes","middle"
"17","activity_08","no","yes","yes","middle"
"17","activity_09","no","yes","yes","middle"
"17","activity_03","no","yes","yes","middle"
"18","activity_06","yes","yes","no","high"
"18","activity_07","yes","yes","no","high"
"18","activity_02","yes","yes","no","high"
"18","activity_01","yes","yes","no","high"
"18","activity_02","yes","yes","no","high"
"18","activity_03","yes","yes","no","high"
"19","activity_08","no","yes","yes","middle"
"19","activity_09","no","yes","yes","middle"
"19","activity_03","no","yes","yes","middle"
"20","activity_08","no","yes","yes","middle"
"20","activity_09","no","yes","yes","middle"
"20","activity_03","no","yes","yes","middle"
"21","activity_06","yes","yes","no","high"
"21","activity_07","yes","yes","no","high"
"21","activity_02","yes","yes","no","high"
"21","activity_01","yes","yes","no","high"
"21","activity_02","yes","yes","no","high"
"21","activity_03","yes","yes","no","high"
"22","activity_08","no","yes","yes","middle"
"22","activity_09","no","yes","yes","middle"
"22","activity_03","no","yes","yes","middle"
"23","activity_08","no","yes","yes","middle"
"23","activity_09","no","yes","yes","middle"
"23","activity_03","no","yes","yes","middle"
"24","activity_06","yes","yes","no","high"
"24","activity_07","yes","yes","no","high"
"24","activity_02","yes","yes","no","high"
"24","activity_01","yes","yes","no","high"
"24","activity_02","yes","yes","no","high"
"24","activity_03","yes","yes","no","high"
"25","activity_08","no","yes","yes","middle"
"25","activity_09","no","yes","yes","middle"
"25","activity_03","no","yes","yes","middle"
"26","activity_08","no","yes","yes","middle"
"26","activity_09","no","yes","yes","middle"
"26","activity_03","no","yes","yes","middle"
"27","activity_08","no","yes","yes","middle"
"27","activity_09","no","yes","yes","middle"
"27","activity_03","no","yes","yes","middle"
"28","activity_08","no","yes","yes","middle"
"28","activity_09","no","yes","yes","middle"
"28","activity_03","no","yes","yes","middle"
"29","activity_08","no","yes","yes","middle"
"29","activity_09","no","yes","yes","middle"
"29","activity_03","no","yes","yes","middle"
