"trace_id","activities","owner","employed","age"
"0","activity_09","no","no","0-19yo"
"1","activity_07","yes","no","0-19yo"
"1","activity_06","yes","no","0-19yo"
"1","activity_02","yes","no","0-19yo"
"2","activity_10","no","no","60-79yo"
"2","activity_03","no","no","60-79yo"
"2","activity_04","no","no","60-79yo"
"3","noise_0","yes","yes","0-19yo"
"3","activity_02","yes","yes","0-19yo"
"3","activity_04","yes","yes","0-19yo"
"3","activity_06","yes","yes","0-19yo"
"3","activity_02","yes","yes","0-19yo"
"4","activity_01","yes","no","40-59yo"
"4","activity_02","yes","no","40-59yo"
"4","activity_09","yes","no","40-59yo"
"4","activity_05","yes","no","40-59yo"
"5","activity_02","no","no","80yo+"
"5","activity_07","no","no","80yo+"
"5","activity_06","no","no","80yo+"
"6","activity_02","no","yes","80yo+"
"6","activity_07","no","yes","80yo+"
"6","activity_06","no","yes","80yo+"
"7","noise_0","no","yes","20-39yo"
"7","activity_04","no","yes","20-39yo"
"7","activity_10","no","yes","20-39yo"
"8","activity_07","no","yes","40-59yo"
"8","activity_08","no","yes","40-59yo"
"8","activity_01","no","yes","40-59yo"
"8","activity_06","no","yes","40-59yo"
"8","activity_03","no","yes","40-59yo"
"9","activity_02","no","yes","0-19yo"
"10","activity_06","yes","yes","20-39yo"
"10","activity_08","yes","yes","20-39yo"
"10","activity_07","yes","yes","20-39yo"
"10","activity_03","yes","yes","20-39yo"
"10","activity_05","yes","yes","20-39yo"
"11","activity_05","yes","no","0-19yo"
"11","activity_06","yes","no","0-19yo"
"11","activity_07","yes","no","0-19yo"
"11","activity_08","yes","no","0-19yo"
"11","activity_01","yes","no","0-19yo"
"11","activity_03","yes","no","0-19yo"
"12","activity_01","yes","no","80yo+"
"12","activity_09","yes","no","80yo+"
"12","activity_05","yes","no","80yo+"
"12","activity_02","yes","no","80yo+"
"13","activity_06","yes","no","0-19yo"
"13","noise_1","yes","no","0-19yo"
"13","noise_2","yes","no","0-19yo"
"13","activity_07","yes","no","0-19yo"
"14","activity_07","yes","no","40-59yo"
"14","activity_02","yes","no","40-59yo"
"15","activity_07","no","no","0-19yo"
"15","activity_02","no","no","0-19yo"
"15","activity_06","no","no","0-19yo"
"15","activity_07","no","no","0-19yo"
"16","noise_4","yes","no","0-19yo"
"16","activity_07","yes","no","0-19yo"
"16","activity_06","yes","no","0-19yo"
"16","activity_04","yes","no","0-19yo"
"16","activity_06","yes","no","0-19yo"
"17","noise_4","yes","no","80yo+"
"17","activity_09","yes","no","80yo+"
"17","activity_01","yes","no","80yo+"
"17","activity_02","yes","no","80yo+"
"17","activity_09","yes","no","80yo+"
"17","activity_05","yes","no","80yo+"
"18","activity_02","no","no","0-19yo"
"18","activity_07","no","no","0-19yo"
"18","activity_06","no","no","0-19yo"
"19","activity_02","no","yes","0-19yo"
"20","activity_02","yes","no","0-19yo"
"20","activity_07","yes","no","0-19yo"
"20","noise_2","yes","no","0-19yo"
"21","activity_06","yes","yes","20-39yo"
"21","activity_10","yes","yes","20-39yo"
"21","activity_01","yes","yes","20-39yo"
"21","activity_02","yes","yes","20-39yo"
"21","activity_09","yes","yes","20-39yo"
"22","noise_3","no","no","0-19yo"
"22","noise_1","no","no","0-19yo"
"22","activity_06","no","no","0-19yo"
"22","activity_02","no","no","0-19yo"
"23","activity_10","yes","yes","40-59yo"
"23","activity_02","yes","yes","40-59yo"
"23","noise_2","yes","yes","40-59yo"
"23","activity_07","yes","yes","40-59yo"
"24","activity_05","no","yes","80yo+"
"24","activity_09","no","yes","80yo+"
"24","noise_2","no","yes","80yo+"
"24","activity_07","no","yes","80yo+"
"24","activity_04","no","yes","80yo+"
"24","activity_08","no","yes","80yo+"
"24","activity_01","no","yes","80yo+"
"24","activity_03","no","yes","80yo+"
"25","activity_09","yes","no","80yo+"
"25","noise_2","yes","no","80yo+"
"25","activity_10","yes","no","80yo+"
"25","activity_02","yes","no","80yo+"
"25","noise_2","yes","no","80yo+"
"25","activity_04","yes","no","80yo+"
"26","activity_02","yes","no","0-19yo"
"26","activity_07","yes","no","0-19yo"
"26","activity_06","yes","no","0-19yo"
"27","noise_0","no","no","20-39yo"
"27","activity_06","no","no","20-39yo"
"27","activity_07","no","no","20-39yo"
"27","activity_08","no","no","20-39yo"
"27","activity_05","no","no","20-39yo"
"27","activity_01","no","no","20-39yo"
"27","activity_03","no","no","20-39yo"
"28","activity_02","yes","yes","60-79yo"
"28","activity_07","yes","yes","60-79yo"
"28","activity_06","yes","yes","60-79yo"
"29","activity_07","no","yes","40-59yo"
"29","activity_02","no","yes","40-59yo"
"30","activity_04","yes","yes","60-79yo"
"30","activity_10","yes","yes","60-79yo"
"30","activity_09","yes","yes","60-79yo"
"30","activity_02","yes","yes","60-79yo"
"30","noise_4","yes","yes","60-79yo"
"31","activity_02","yes","no","0-19yo"
"31","activity_07","yes","no","0-19yo"
"31","activity_06","yes","no","0-19yo"
"32","noise_0","no","no","0-19yo"
"32","activity_08","no","no","0-19yo"
"32","activity_07","no","no","0-19yo"
"33","activity_05","yes","yes","40-59yo"
"33","activity_06","yes","yes","40-59yo"
"33","activity_07","yes","yes","40-59yo"
"33","activity_01","yes","yes","40-59yo"
"33","activity_08","yes","yes","40-59yo"
"33","activity_03","yes","yes","40-59yo"
"34","activity_02","no","yes","0-19yo"
"34","activity_07","no","yes","0-19yo"
"34","activity_06","no","yes","0-19yo"
"35","noise_1","yes","yes","0-19yo"
"35","activity_07","yes","yes","0-19yo"
"35","noise_0","yes","yes","0-19yo"
"35","activity_02","yes","yes","0-19yo"
"35","activity_06","yes","yes","0-19yo"
"36","activity_02","yes","yes","20-39yo"
"36","activity_06","yes","yes","20-39yo"
"36","activity_03","yes","yes","20-39yo"
"37","activity_07","no","no","0-19yo"
"37","noise_4","no","no","0-19yo"
"37","activity_06","no","no","0-19yo"
"37","activity_02","no","no","0-19yo"
"38","activity_02","yes","yes","60-79yo"
"38","activity_07","yes","yes","60-79yo"
"38","activity_06","yes","yes","60-79yo"
"39","activity_01","yes","yes","80yo+"
"39","activity_02","yes","yes","80yo+"
"39","activity_09","yes","yes","80yo+"
"39","activity_05","yes","yes","80yo+"
"40","activity_02","no","no","0-19yo"
"40","activity_07","no","no","0-19yo"
"40","activity_06","no","no","0-19yo"
"41","activity_02","yes","no","0-19yo"
"41","activity_07","yes","no","0-19yo"
"41","activity_06","yes","no","0-19yo"
"42","activity_02","yes","no","40-59yo"
"42","activity_07","yes","no","40-59yo"
"42","activity_06","yes","no","40-59yo"
"43","activity_01","yes","yes","20-39yo"
"43","activity_02","yes","yes","20-39yo"
"43","activity_09","yes","yes","20-39yo"
"43","activity_05","yes","yes","20-39yo"
"44","activity_03","yes","no","80yo+"
"44","activity_07","yes","no","80yo+"
"44","activity_05","yes","no","80yo+"
"45","activity_05","no","no","80yo+"
"45","activity_03","no","no","80yo+"
"45","activity_01","no","no","80yo+"
"45","activity_07","no","no","80yo+"
"45","activity_08","no","no","80yo+"
"45","activity_03","no","no","80yo+"
"46","activity_05","yes","no","80yo+"
"46","activity_06","yes","no","80yo+"
"46","activity_07","yes","no","80yo+"
"46","activity_08","yes","no","80yo+"
"46","activity_01","yes","no","80yo+"
"46","activity_03","yes","no","80yo+"
"47","activity_01","no","no","20-39yo"
"47","activity_02","no","no","20-39yo"
"47","activity_09","no","no","20-39yo"
"47","activity_05","no","no","20-39yo"
"48","activity_05","yes","yes","60-79yo"
"48","activity_06","yes","yes","60-79yo"
"48","activity_01","yes","yes","60-79yo"
"48","activity_03","yes","yes","60-79yo"
"49","activity_10","no","yes","80yo+"
"49","activity_09","no","yes","80yo+"
"49","activity_04","no","yes","80yo+"
"49","activity_02","no","yes","80yo+"
"50","activity_03","yes","no","0-19yo"
"50","activity_07","yes","no","0-19yo"
"50","activity_06","yes","no","0-19yo"
"51","activity_02","no","yes","0-19yo"
"51","activity_07","no","yes","0-19yo"
"51","activity_06","no","yes","0-19yo"
"52","activity_02","no","yes","80yo+"
"52","activity_07","no","yes","80yo+"
"52","activity_06","no","yes","80yo+"
"53","activity_02","no","yes","20-39yo"
"53","activity_07","no","yes","20-39yo"
"53","activity_06","no","yes","20-39yo"
"54","activity_02","yes","yes","80yo+"
"54","activity_07","yes","yes","80yo+"
"55","activity_05","yes","no","0-19yo"
"55","activity_06","yes","no","0-19yo"
"55","activity_07","yes","no","0-19yo"
"55","activity_08","yes","no","0-19yo"
"55","activity_01","yes","no","0-19yo"
"55","activity_03","yes","no","0-19yo"
"56","activity_02","yes","no","20-39yo"
"56","activity_07","yes","no","20-39yo"
"56","activity_06","yes","no","20-39yo"
"57","activity_10","yes","no","20-39yo"
"57","activity_09","yes","no","20-39yo"
"57","activity_02","yes","no","20-39yo"
"57","activity_04","yes","no","20-39yo"
"58","activity_09","no","yes","60-79yo"
"58","activity_05","no","yes","60-79yo"
"58","activity_02","no","yes","60-79yo"
"58","activity_07","no","yes","60-79yo"
"59","activity_08","yes","yes","0-19yo"
"59","activity_02","yes","yes","0-19yo"
"59","activity_07","yes","yes","0-19yo"
"59","noise_3","yes","yes","0-19yo"
"60","noise_4","yes","yes","0-19yo"
"60","activity_02","yes","yes","0-19yo"
"60","noise_4","yes","yes","0-19yo"
"61","activity_02","yes","no","20-39yo"
"61","activity_07","yes","no","20-39yo"
"61","activity_06","yes","no","20-39yo"
"62","activity_07","no","yes","60-79yo"
"62","activity_02","no","yes","60-79yo"
"63","activity_02","yes","no","40-59yo"
"63","activity_07","yes","no","40-59yo"
"63","activity_06","yes","no","40-59yo"
"64","activity_02","yes","no","0-19yo"
"64","activity_07","yes","no","0-19yo"
"64","activity_03","yes","no","0-19yo"
"64","activity_06","yes","no","0-19yo"
"65","activity_05","yes","yes","40-59yo"
"65","activity_06","yes","yes","40-59yo"
"65","activity_07","yes","yes","40-59yo"
"65","activity_08","yes","yes","40-59yo"
"65","activity_01","yes","yes","40-59yo"
"65","activity_03","yes","yes","40-59yo"
"66","noise_0","yes","yes","0-19yo"
"66","activity_01","yes","yes","0-19yo"
"66","activity_02","yes","yes","0-19yo"
"66","activity_09","yes","yes","0-19yo"
"67","activity_02","yes","no","0-19yo"
"67","activity_07","yes","no","0-19yo"
"67","activity_06","yes","no","0-19yo"
"67","activity_06","yes","no","0-19yo"
"68","activity_02","yes","no","60-79yo"
"68","noise_4","yes","no","60-79yo"
"68","activity_06","yes","no","60-79yo"
"69","activity_08","yes","no","0-19yo"
"69","activity_07","yes","no","0-19yo"
"69","activity_01","yes","no","0-19yo"
"69","activity_02","yes","no","0-19yo"
"69","activity_06","yes","no","0-19yo"
"70","activity_05","yes","yes","80yo+"
"70","activity_06","yes","yes","80yo+"
"70","activity_07","yes","yes","80yo+"
"70","activity_08","yes","yes","80yo+"
"70","activity_01","yes","yes","80yo+"
"70","activity_03","yes","yes","80yo+"
"71","noise_2","yes","no","0-19yo"
"71","noise_3","yes","no","0-19yo"
"71","activity_06","yes","no","0-19yo"
"71","activity_07","yes","no","0-19yo"
"72","activity_07","no","yes","0-19yo"
"72","activity_02","no","yes","0-19yo"
"73","activity_10","yes","yes","0-19yo"
"73","noise_1","yes","yes","0-19yo"
"73","activity_06","yes","yes","0-19yo"
"73","activity_05","yes","yes","0-19yo"
"74","noise_4","no","yes","80yo+"
"74","activity_07","no","yes","80yo+"
"74","activity_02","no","yes","80yo+"
"74","activity_06","no","yes","80yo+"
"75","activity_05","yes","no","60-79yo"
"75","activity_06","yes","no","60-79yo"
"75","activity_07","yes","no","60-79yo"
"75","activity_08","yes","no","60-79yo"
"75","activity_01","yes","no","60-79yo"
"75","activity_03","yes","no","60-79yo"
"76","activity_02","yes","yes","60-79yo"
"76","activity_07","yes","yes","60-79yo"
"76","activity_06","yes","yes","60-79yo"
"77","activity_02","no","yes","0-19yo"
"77","activity_07","no","yes","0-19yo"
"78","activity_10","no","yes","40-59yo"
"78","activity_09","no","yes","40-59yo"
"78","activity_02","no","yes","40-59yo"
"78","activity_04","no","yes","40-59yo"
"79","activity_02","no","no","0-19yo"
"79","activity_07","no","no","0-19yo"
"79","activity_06","no","no","0-19yo"
"80","activity_10","yes","yes","20-39yo"
"80","activity_07","yes","yes","20-39yo"
"80","noise_2","yes","yes","20-39yo"
"80","activity_02","yes","yes","20-39yo"
"81","noise_3","no","yes","0-19yo"
"81","noise_4","no","yes","0-19yo"
"81","activity_01","no","yes","0-19yo"
"81","activity_02","no","yes","0-19yo"
"81","activity_09","no","yes","0-19yo"
"81","activity_09","no","yes","0-19yo"
"81","activity_05","no","yes","0-19yo"
"82","activity_09","yes","yes","80yo+"
"82","activity_02","yes","yes","80yo+"
"82","activity_04","yes","yes","80yo+"
"83","activity_02","yes","no","20-39yo"
"83","activity_07","yes","no","20-39yo"
"83","activity_06","yes","no","20-39yo"
"83","activity_09","yes","no","20-39yo"
"84","noise_4","no","no","40-59yo"
"84","activity_02","no","no","40-59yo"
"84","activity_07","no","no","40-59yo"
"84","activity_06","no","no","40-59yo"
"85","activity_10","yes","no","80yo+"
"85","activity_09","yes","no","80yo+"
"85","activity_02","yes","no","80yo+"
"85","activity_04","yes","no","80yo+"
"86","activity_02","yes","no","20-39yo"
"86","activity_06","yes","no","20-39yo"
"87","activity_02","no","yes","0-19yo"
"87","activity_07","no","yes","0-19yo"
"87","activity_06","no","yes","0-19yo"
"88","activity_02","yes","yes","60-79yo"
"88","activity_07","yes","yes","60-79yo"
"88","activity_06","yes","yes","60-79yo"
"89","activity_02","yes","no","40-59yo"
"89","activity_07","yes","no","40-59yo"
"89","activity_06","yes","no","40-59yo"
"90","activity_02","no","yes","80yo+"
"90","activity_07","no","yes","80yo+"
"90","activity_07","no","yes","80yo+"
"90","activity_06","no","yes","80yo+"
"91","activity_02","yes","yes","40-59yo"
"91","activity_07","yes","yes","40-59yo"
"91","activity_06","yes","yes","40-59yo"
"92","activity_02","no","yes","0-19yo"
"92","activity_07","no","yes","0-19yo"
"92","activity_06","no","yes","0-19yo"
"93","activity_06","yes","yes","40-59yo"
"93","activity_02","yes","yes","40-59yo"
"94","activity_10","yes","no","80yo+"
"94","activity_09","yes","no","80yo+"
"94","activity_02","yes","no","80yo+"
"94","activity_04","yes","no","80yo+"
"95","noise_1","no","yes","0-19yo"
"95","activity_07","no","yes","0-19yo"
"96","activity_02","no","yes","80yo+"
"96","activity_07","no","yes","80yo+"
"96","activity_06","no","yes","80yo+"
"97","activity_02","yes","no","0-19yo"
"97","activity_07","yes","no","0-19yo"
"97","activity_06","yes","no","0-19yo"
"98","activity_06","no","no","60-79yo"
"98","noise_4","no","no","60-79yo"
"98","noise_0","no","no","60-79yo"
"98","activity_02","no","no","60-79yo"
"99","noise_2","no","no","0-19yo"
"99","activity_06","no","no","0-19yo"
"99","activity_07","no","no","0-19yo"
"99","noise_3","no","no","0-19yo"
"99","activity_03","no","no","0-19yo"
"99","activity_01","no","no","0-19yo"
