"trace_id","activities","owner","employed","age","g"
"0","activity_09","no","no","0-19yo","activity_01__+__activity_02__+__activity_09__+__activity_05"
"1","activity_07","yes","no","0-19yo","activity_02__+__activity_07__+__activity_06"
"1","activity_06","yes","no","0-19yo","activity_02__+__activity_07__+__activity_06"
"1","activity_02","yes","no","0-19yo","activity_02__+__activity_07__+__activity_06"
"2","activity_10","no","no","60-79yo","activity_10__+__activity_09__+__activity_02__+__activity_04"
"2","activity_03","no","no","60-79yo","activity_10__+__activity_09__+__activity_02__+__activity_04"
"2","activity_04","no","no","60-79yo","activity_10__+__activity_09__+__activity_02__+__activity_04"
"3","noise_0","yes","yes","0-19yo","activity_02__+__activity_07__+__activity_06"
"3","activity_02","yes","yes","0-19yo","activity_02__+__activity_07__+__activity_06"
"3","activity_04","yes","yes","0-19yo","activity_02__+__activity_07__+__activity_06"
"3","activity_06","yes","yes","0-19yo","activity_02__+__activity_07__+__activity_06"
"3","activity_02","yes","yes","0-19yo","activity_02__+__activity_07__+__activity_06"
"4","activity_01","yes","no","40-59yo","activity_01__+__activity_02__+__activity_09__+__activity_05"
"4","activity_02","yes","no","40-59yo","activity_01__+__activity_02__+__activity_09__+__activity_05"
"4","activity_09","yes","no","40-59yo","activity_01__+__activity_02__+__activity_09__+__activity_05"
"4","activity_05","yes","no","40-59yo","activity_01__+__activity_02__+__activity_09__+__activity_05"
"5","activity_02","no","no","80yo+","activity_02__+__activity_07__+__activity_06"
"5","activity_07","no","no","80yo+","activity_02__+__activity_07__+__activity_06"
"5","activity_06","no","no","80yo+","activity_02__+__activity_07__+__activity_06"
"6","activity_02","no","yes","80yo+","activity_02__+__activity_07__+__activity_06"
"6","activity_07","no","yes","80yo+","activity_02__+__activity_07__+__activity_06"
"6","activity_06","no","yes","80yo+","activity_02__+__activity_07__+__activity_06"
"7","noise_0","no","yes","20-39yo","activity_10__+__activity_09__+__activity_02__+__activity_04"
"7","activity_04","no","yes","20-39yo","activity_10__+__activity_09__+__activity_02__+__activity_04"
"7","activity_10","no","yes","20-39yo","activity_10__+__activity_09__+__activity_02__+__activity_04"
"8","activity_07","no","yes","40-59yo","activity_05__+__activity_06__+__activity_07__+__activity_08__+__activity_01__+__activity_03"
"8","activity_08","no","yes","40-59yo","activity_05__+__activity_06__+__activity_07__+__activity_08__+__activity_01__+__activity_03"
"8","activity_01","no","yes","40-59yo","activity_05__+__activity_06__+__activity_07__+__activity_08__+__activity_01__+__activity_03"
