"trace_id","activities","owner","age","car_owner","income","g"
"0","activity_04","yes","80yo+","yes","high","activity_09__+__activity_01__+__activity_04__+__activity_04"
"0","activity_02","yes","80yo+","yes","high","activity_09__+__activity_01__+__activity_04__+__activity_04"
"0","activity_04","yes","80yo+","yes","high","activity_09__+__activity_01__+__activity_04__+__activity_04"
"0","activity_09","yes","80yo+","yes","high","activity_09__+__activity_01__+__activity_04__+__activity_04"
"1","activity_09","yes","80yo+","no","low","activity_09__+__activity_01__+__activity_04__+__activity_04"
"1","activity_01","yes","80yo+","no","low","activity_09__+__activity_01__+__activity_04__+__activity_04"
"1","activity_04","yes","80yo+","no","low","activity_09__+__activity_01__+__activity_04__+__activity_04"
"1","activity_04","yes","80yo+","no","low","activity_09__+__activity_01__+__activity_04__+__activity_04"
"2","activity_04","yes","0-19yo","yes","low","activity_04__+__activity_01__+__activity_04"
"2","activity_01","yes","0-19yo","yes","low","activity_04__+__activity_01__+__activity_04"
"2","activity_04","yes","0-19yo","yes","low","activity_04__+__activity_01__+__activity_04"
"3","activity_01","yes","20-39yo","yes","low","activity_09__+__activity_01__+__activity_04__+__activity_04"
"3","activity_04","yes","20-39yo","yes","low","activity_09__+__activity_01__+__activity_04__+__activity_04"
"3","activity_04","yes","20-39yo","yes","low","activity_09__+__activity_01__+__activity_04__+__activity_04"
"4","activity_07","no","20-39yo","no","middle","activity_09__+__activity_01__+__activity_04__+__activity_04"
"4","activity_09","no","20-39yo","no","middle","activity_09__+__activity_01__+__activity_04__+__activity_04"
"4","activity_01","no","20-39yo","no","middle","activity_09__+__activity_01__+__activity_04__+__activity_04"
"4","activity_04","no","20-39yo","no","middle","activity_09__+__activity_01__+__activity_04__+__activity_04"
"5","activity_04","no","20-39yo","yes","high","activity_03__+__activity_02__+__activity_01__+__activity_04"
"5","noise_2","no","20-39yo","yes","high","activity_03__+__activity_02__+__activity_01__+__activity_04"
"5","activity_07","no","20-39yo","yes","high","activity_03__+__activity_02__+__activity_01__+__activity_04"
"5","activity_02","no","20-39yo","yes","high","activity_03__+__activity_02__+__activity_01__+__activity_04"
"5","activity_01","no","20-39yo","yes","high","activity_03__+__activity_02__+__activity_01__+__activity_04"
"5","activity_04","no","20-39yo","yes","high","activity_03__+__activity_02__+__activity_01__+__activity_04"
"6","activity_09","yes","80yo+","no","low","activity_09__+__activity_01__+__activity_04__+__activity_04"
"6","activity_01","yes","80yo+","no","low","activity_09__+__activity_01__+__activity_04__+__activity_04"
"6","activity_04","yes","80yo+","no","low","activity_09__+__activity_01__+__activity_04__+__activity_04"
"6","activity_04","yes","80yo+","no","low","activity_09__+__activity_01__+__activity_04__+__activity_04"
"7","activity_09","yes","80yo+","no","low","activity_09__+__activity_01__+__activity_04__+__activity_04"
"7","activity_01","yes","80yo+","no","low","activity_09__+__activity_01__+__activity_04__+__activity_04"
"7","activity_04","yes","80yo+","no","low","activity_09__+__activity_01__+__activity_04__+__activity_04"
"7","activity_04","yes","80yo+","no","low","activity_09__+__activity_01__+__activity_04__+__activity_04"
"8","activity_09","no","20-39yo","yes","middle","activity_09__+__activity_01__+__activity_04__+__activity_04"
"8","activity_01","no","20-39yo","yes","middle","activity_09__+__activity_01__+__activity_04__+__activity_04"
"8","activity_04","no","20-39yo","yes","middle","activity_09__+__activity_01__+__activity_04__+__activity_04"
"8","activity_04","no","20-39yo","yes","middle","activity_09__+__activity_01__+__activity_04__+__activity_04"
"9","activity_09","yes","80yo+","no","low","activity_09__+__activity_01__+__activity_04__+__activity_04"
"9","activity_01","yes","80yo+","no","low","activity_09__+__activity_01__+__activity_04__+__activity_04"
