"trace_id","activities","owner","employed","age","income"
"0","activity_01","no","no","40-59yo","high"
"0","activity_04","no","no","40-59yo","high"
"0","activity_07","no","no","40-59yo","high"
"0","activity_06","no","no","40-59yo","high"
"0","activity_05","no","no","40-59yo","high"
"0","activity_05","no","no","40-59yo","high"
"0","activity_02","no","no","40-59yo","high"
"0","activity_03","no","no","40-59yo","high"
"1","activity_09","no","yes","20-39yo","middle"
"1","noise_3","no","yes","20-39yo","middle"
"1","activity_04","no","yes","20-39yo","middle"
"1","activity_02","no","yes","20-39yo","middle"
"2","activity_09","yes","yes","0-19yo","middle"
"2","activity_06","yes","yes","0-19yo","middle"
"2","activity_05","yes","yes","0-19yo","middle"
"2","activity_10","yes","yes","0-19yo","middle"
"3","activity_10","yes","no","0-19yo","middle"
"3","noise_3","yes","no","0-19yo","middle"
"3","activity_06","yes","no","0-19yo","middle"
"3","activity_03","yes","no","0-19yo","middle"
"3","activity_07","yes","no","0-19yo","middle"
"3","activity_02","yes","no","0-19yo","middle"
"4","activity_10","no","yes","0-19yo","middle"
"4","activity_06","no","yes","0-19yo","middle"
"4","noise_4","no","yes","0-19yo","middle"
"4","activity_07","no","yes","0-19yo","middle"
"5","activity_10","no","no","80yo+","high"
"5","noise_1","no","no","80yo+","high"
"5","activity_04","no","no","80yo+","high"
"5","activity_02","no","no","80yo+","high"
"5","activity_09","no","no","80yo+","high"
"5","activity_01","no","no","80yo+","high"
"6","activity_04","no","yes","20-39yo","high"
"6","activity_07","no","yes","20-39yo","high"
"6","activity_06","no","yes","20-39yo","high"
"6","activity_05","no","yes","20-39yo","high"
"6","activity_01","no","yes","20-39yo","high"
"6","activity_02","no","yes","20-39yo","high"
"6","activity_03","no","yes","20-39yo","high"
"7","activity_09","yes","yes","80yo+","low"
"7","activity_04","yes","yes","80yo+","low"
"7","activity_02","yes","yes","80yo+","low"
"8","activity_09","yes","yes","20-39yo","middle"
"8","activity_07","yes","yes","20-39yo","middle"
"8","activity_01","yes","yes","20-39yo","middle"
"9","activity_10","yes","yes","80yo+","high"
"9","activity_06","yes","yes","80yo+","high"
"9","activity_02","yes","yes","80yo+","high"
"9","activity_03","yes","yes","80yo+","high"
"9","activity_07","yes","yes","80yo+","high"
"10","activity_10","yes","no","20-39yo","middle"
"10","activity_07","yes","no","20-39yo","middle"
"10","activity_08","yes","no","20-39yo","middle"
"10","activity_09","yes","no","20-39yo","middle"
"11","activity_10","no","yes","60-79yo","middle"
"11","activity_06","no","yes","60-79yo","middle"
"11","activity_02","no","yes","60-79yo","middle"
"11","activity_03","no","yes","60-79yo","middle"
"11","activity_07","no","yes","60-79yo","middle"
"12","activity_09","no","yes","40-59yo","high"
"12","noise_1","no","yes","40-59yo","high"
"12","activity_04","no","yes","40-59yo","high"
"12","activity_10","no","yes","40-59yo","high"
"12","activity_02","no","yes","40-59yo","high"
"13","activity_03","yes","no","80yo+","middle"
"13","activity_01","yes","no","80yo+","middle"
"13","activity_04","yes","no","80yo+","middle"
"13","activity_01","yes","no","80yo+","middle"
"13","activity_05","yes","no","80yo+","middle"
"14","activity_10","yes","yes","20-39yo","low"
"14","activity_06","yes","yes","20-39yo","low"
"14","activity_02","yes","yes","20-39yo","low"
"14","activity_03","yes","yes","20-39yo","low"
"14","activity_07","yes","yes","20-39yo","low"
"15","activity_07","yes","yes","0-19yo","low"
"15","activity_04","yes","yes","0-19yo","low"
"15","activity_09","yes","yes","0-19yo","low"
"15","activity_02","yes","yes","0-19yo","low"
"16","activity_04","no","yes","40-59yo","high"
"16","activity_02","no","yes","40-59yo","high"
"16","activity_06","no","yes","40-59yo","high"
"16","activity_09","no","yes","40-59yo","high"
"16","noise_3","no","yes","40-59yo","high"
"17","activity_05","no","yes","40-59yo","middle"
"17","activity_04","no","yes","40-59yo","middle"
"17","activity_03","no","yes","40-59yo","middle"
"17","activity_07","no","yes","40-59yo","middle"
"17","activity_01","no","yes","40-59yo","middle"
"17","activity_06","no","yes","40-59yo","middle"
"17","activity_05","no","yes","40-59yo","middle"
"17","activity_02","no","yes","40-59yo","middle"
"18","activity_09","yes","yes","0-19yo","high"
"18","activity_04","yes","yes","0-19yo","high"
"18","activity_02","yes","yes","0-19yo","high"
"19","activity_09","yes","no","40-59yo","low"
"19","activity_04","yes","no","40-59yo","low"
"20","activity_04","no","no","0-19yo","low"
"20","noise_4","no","no","0-19yo","low"
"20","activity_09","no","no","0-19yo","low"
"21","activity_10","yes","yes","80yo+","middle"
"21","activity_06","yes","yes","80yo+","middle"
"21","activity_02","yes","yes","80yo+","middle"
"21","activity_03","yes","yes","80yo+","middle"
"21","activity_07","yes","yes","80yo+","middle"
"21","activity_07","yes","yes","80yo+","middle"
"22","noise_3","no","yes","80yo+","low"
"22","activity_10","no","yes","80yo+","low"
"22","activity_06","no","yes","80yo+","low"
"22","activity_03","no","yes","80yo+","low"
"22","activity_07","no","yes","80yo+","low"
"23","activity_01","yes","no","0-19yo","low"
"23","activity_04","yes","no","0-19yo","low"
"23","activity_07","yes","no","0-19yo","low"
"23","activity_06","yes","no","0-19yo","low"
"23","activity_05","yes","no","0-19yo","low"
"23","activity_05","yes","no","0-19yo","low"
"23","activity_02","yes","no","0-19yo","low"
"23","activity_03","yes","no","0-19yo","low"
"24","activity_02","yes","no","80yo+","low"
"25","activity_09","yes","yes","0-19yo","middle"
"25","noise_3","yes","yes","0-19yo","middle"
"25","activity_04","yes","yes","0-19yo","middle"
"25","activity_02","yes","yes","0-19yo","middle"
"26","activity_09","yes","no","60-79yo","high"
"26","activity_02","yes","no","60-79yo","high"
"26","activity_04","yes","no","60-79yo","high"
"26","noise_2","yes","no","60-79yo","high"
"27","activity_10","no","yes","40-59yo","high"
"27","activity_07","no","yes","40-59yo","high"
"27","activity_08","no","yes","40-59yo","high"
"27","activity_09","no","yes","40-59yo","high"
"28","activity_10","no","yes","40-59yo","low"
"28","activity_07","no","yes","40-59yo","low"
"28","activity_08","no","yes","40-59yo","low"
"28","activity_09","no","yes","40-59yo","low"
"29","activity_09","no","no","0-19yo","middle"
"29","activity_04","no","no","0-19yo","middle"
"29","activity_02","no","no","0-19yo","middle"
"30","activity_04","yes","yes","20-39yo","middle"
"30","activity_10","yes","yes","20-39yo","middle"
"30","activity_06","yes","yes","20-39yo","middle"
"30","activity_02","yes","yes","20-39yo","middle"
"30","noise_2","yes","yes","20-39yo","middle"
"30","activity_03","yes","yes","20-39yo","middle"
"31","activity_02","yes","no","0-19yo","high"
"31","noise_2","yes","no","0-19yo","high"
"31","noise_4","yes","no","0-19yo","high"
"31","activity_04","yes","no","0-19yo","high"
"31","activity_07","yes","no","0-19yo","high"
"32","activity_03","yes","yes","80yo+","low"
"32","activity_01","yes","yes","80yo+","low"
"32","activity_04","yes","yes","80yo+","low"
"32","activity_01","yes","yes","80yo+","low"
"33","activity_10","yes","yes","40-59yo","middle"
"33","activity_06","yes","yes","40-59yo","middle"
"33","activity_02","yes","yes","40-59yo","middle"
"33","activity_03","yes","yes","40-59yo","middle"
"33","activity_07","yes","yes","40-59yo","middle"
"34","activity_09","yes","no","20-39yo","middle"
"34","activity_04","yes","no","20-39yo","middle"
"34","activity_02","yes","no","20-39yo","middle"
"35","activity_09","no","yes","60-79yo","middle"
"35","activity_04","no","yes","60-79yo","middle"
"35","activity_02","no","yes","60-79yo","middle"
"36","activity_03","yes","yes","0-19yo","high"
"36","activity_01","yes","yes","0-19yo","high"
"36","activity_04","yes","yes","0-19yo","high"
"36","noise_3","yes","yes","0-19yo","high"
"36","activity_01","yes","yes","0-19yo","high"
"36","activity_05","yes","yes","0-19yo","high"
"37","activity_09","yes","no","0-19yo","high"
"37","activity_04","yes","no","0-19yo","high"
"37","activity_02","yes","no","0-19yo","high"
"38","activity_06","no","no","40-59yo","high"
"38","activity_05","no","no","40-59yo","high"
