"trace_id","activities","owner","employed","car_owner"
"0","activity_02","no","yes","yes"
"0","activity_12","no","yes","yes"
"0","activity_10","no","yes","yes"
"0","activity_15","no","yes","yes"
"1","noise_1","yes","no","no"
"1","activity_12","yes","no","no"
"1","activity_07","yes","no","no"
"1","activity_06","yes","no","no"
"1","activity_05","yes","no","no"
"1","activity_02","yes","no","no"
"1","activity_13","yes","no","no"
"1","activity_04","yes","no","no"
"1","activity_14","yes","no","no"
"2","activity_13","yes","no","no"
"2","activity_08","yes","no","no"
"2","activity_02","yes","no","no"
"3","activity_12","no","no","yes"
"3","activity_06","no","no","yes"
"3","activity_13","no","no","yes"
"3","activity_07","no","no","yes"
"3","activity_02","no","no","yes"
"3","activity_13","no","no","yes"
"3","activity_14","no","no","yes"
"4","activity_12","yes","no","no"
"4","activity_06","yes","no","no"
"4","activity_05","yes","no","no"
"4","noise_4","yes","no","no"
"4","activity_02","yes","no","no"
"4","activity_13","yes","no","no"
"4","noise_4","yes","no","no"
"4","activity_07","yes","no","no"
"4","activity_14","yes","no","no"
"5","activity_05","no","yes","yes"
"5","activity_04","no","yes","yes"
"5","activity_02","no","yes","yes"
"5","activity_05","no","yes","yes"
"6","activity_12","no","yes","yes"
"6","activity_07","no","yes","yes"
"6","activity_06","no","yes","yes"
"6","activity_05","no","yes","yes"
"6","activity_02","no","yes","yes"
"6","activity_13","no","yes","yes"
"6","activity_14","no","yes","yes"
"7","activity_12","no","yes","no"
"7","activity_07","no","yes","no"
"7","activity_06","no","yes","no"
"7","activity_05","no","yes","no"
"7","activity_02","no","yes","no"
"7","activity_13","no","yes","no"
"7","activity_14","no","yes","no"
"8","activity_12","yes","no","no"
"8","activity_06","yes","no","no"
"8","noise_3","yes","no","no"
"8","activity_05","yes","no","no"
"8","activity_02","yes","no","no"
"8","activity_13","yes","no","no"
"8","activity_14","yes","no","no"
"9","activity_12","no","no","no"
"9","activity_07","no","no","no"
"9","activity_06","no","no","no"
"9","activity_05","no","no","no"
"9","activity_02","no","no","no"
"9","activity_13","no","no","no"
"9","activity_14","no","no","no"
"10","activity_12","yes","yes","no"
"10","activity_07","yes","yes","no"
"10","activity_06","yes","yes","no"
"10","activity_05","yes","yes","no"
"10","activity_02","yes","yes","no"
"10","activity_13","yes","yes","no"
"10","activity_14","yes","yes","no"
"11","activity_12","yes","yes","no"
"11","activity_07","yes","yes","no"
"11","activity_06","yes","yes","no"
"11","activity_05","yes","yes","no"
"11","activity_02","yes","yes","no"
"11","activity_13","yes","yes","no"
"11","activity_14","yes","yes","no"
"12","activity_12","yes","yes","no"
"12","activity_07","yes","yes","no"
"12","activity_07","yes","yes","no"
"12","activity_05","yes","yes","no"
"12","activity_02","yes","yes","no"
"12","activity_14","yes","yes","no"
"13","activity_02","yes","yes","yes"
"13","activity_12","yes","yes","yes"
"13","activity_10","yes","yes","yes"
"13","activity_15","yes","yes","yes"
"14","activity_12","yes","no","no"
"14","activity_07","yes","no","no"
"14","activity_06","yes","no","no"
"14","activity_02","yes","no","no"
"14","activity_05","yes","no","no"
"14","activity_13","yes","no","no"
"14","activity_14","yes","no","no"
"15","activity_12","yes","yes","no"
"15","activity_07","yes","yes","no"
"15","activity_06","yes","yes","no"
"15","activity_05","yes","yes","no"
"15","activity_02","yes","yes","no"
"15","activity_13","yes","yes","no"
"15","activity_14","yes","yes","no"
"16","activity_12","no","yes","no"
"16","activity_07","no","yes","no"
"16","activity_06","no","yes","no"
"16","activity_05","no","yes","no"
"16","activity_02","no","yes","no"
"16","activity_13","no","yes","no"
"16","activity_14","no","yes","no"
"17","activity_05","yes","no","yes"
"17","activity_04","yes","no","yes"
"17","activity_02","yes","no","yes"
"17","activity_05","yes","no","yes"
"18","activity_12","yes","no","no"
"18","activity_06","yes","no","no"
"18","activity_05","yes","no","no"
"18","activity_02","yes","no","no"
"18","activity_14","yes","no","no"
"18","activity_13","yes","no","no"
"19","activity_12","no","no","no"
"19","activity_07","no","no","no"
"19","noise_1","no","no","no"
"19","activity_06","no","no","no"
"19","activity_05","no","no","no"
"19","activity_13","no","no","no"
"19","activity_14","no","no","no"
"20","activity_03","no","no","no"
"20","activity_07","no","no","no"
"20","activity_05","no","no","no"
"20","activity_02","no","no","no"
"20","activity_13","no","no","no"
"20","activity_06","no","no","no"
"20","activity_14","no","no","no"
"21","activity_10","no","no","no"
"21","activity_13","no","no","no"
"21","activity_08","no","no","no"
"21","activity_02","no","no","no"
"22","activity_10","yes","yes","no"
"22","activity_13","yes","yes","no"
"22","activity_08","yes","yes","no"
"22","activity_02","yes","yes","no"
"23","activity_05","yes","no","no"
"23","activity_07","yes","no","no"
"23","activity_12","yes","no","no"
"23","activity_06","yes","no","no"
"23","activity_13","yes","no","no"
"23","activity_02","yes","no","no"
"23","activity_14","yes","no","no"
"24","activity_07","yes","no","yes"
"24","noise_1","yes","no","yes"
"24","activity_05","yes","no","yes"
"24","activity_02","yes","no","yes"
"24","activity_13","yes","no","yes"
"24","activity_06","yes","no","yes"
"24","activity_14","yes","no","yes"
"25","activity_12","yes","no","yes"
"25","activity_02","yes","no","yes"
"25","activity_07","yes","no","yes"
"25","activity_06","yes","no","yes"
"25","activity_02","yes","no","yes"
"25","activity_13","yes","no","yes"
"25","activity_14","yes","no","yes"
"26","activity_07","yes","yes","no"
"26","activity_06","yes","yes","no"
"26","activity_05","yes","yes","no"
"26","activity_12","yes","yes","no"
"26","activity_03","yes","yes","no"
"26","activity_02","yes","yes","no"
"26","activity_13","yes","yes","no"
"26","activity_14","yes","yes","no"
"27","activity_12","yes","no","no"
"27","activity_07","yes","no","no"
"27","activity_06","yes","no","no"
"27","activity_05","yes","no","no"
"27","activity_02","yes","no","no"
"27","activity_13","yes","no","no"
"27","activity_14","yes","no","no"
"28","activity_12","yes","yes","no"
"28","activity_07","yes","yes","no"
"28","noise_0","yes","yes","no"
"28","activity_06","yes","yes","no"
"28","activity_14","yes","yes","no"
"28","activity_05","yes","yes","no"
"28","activity_02","yes","yes","no"
"28","activity_13","yes","yes","no"
"29","activity_12","no","no","no"
"29","activity_07","no","no","no"
"29","activity_06","no","no","no"
"29","activity_05","no","no","no"
"29","activity_02","no","no","no"
"29","activity_13","no","no","no"
"29","activity_14","no","no","no"
"30","activity_12","yes","no","no"
"30","activity_07","yes","no","no"
"30","activity_06","yes","no","no"
"30","activity_05","yes","no","no"
"30","activity_02","yes","no","no"
"30","activity_13","yes","no","no"
"30","activity_14","yes","no","no"
"31","activity_10","yes","no","no"
"31","activity_01","yes","no","no"
"31","activity_02","yes","no","no"
"31","activity_03","yes","no","no"
"32","activity_10","no","no","no"
"32","activity_01","no","no","no"
"32","activity_02","no","no","no"
"32","activity_03","no","no","no"
"33","activity_02","no","no","yes"
"33","activity_12","no","no","yes"
"33","activity_10","no","no","yes"
"33","activity_15","no","no","yes"
"34","activity_12","no","no","no"
"34","activity_07","no","no","no"
"34","activity_06","no","no","no"
"34","activity_05","no","no","no"
"34","activity_02","no","no","no"
"34","activity_13","no","no","no"
"34","activity_14","no","no","no"
"35","activity_12","no","yes","no"
"35","activity_07","no","yes","no"
"35","activity_06","no","yes","no"
"35","activity_05","no","yes","no"
"35","activity_02","no","yes","no"
"35","activity_13","no","yes","no"
"35","activity_14","no","yes","no"
"36","activity_12","yes","no","no"
"36","activity_07","yes","no","no"
"36","activity_06","yes","no","no"
"36","activity_05","yes","no","no"
"36","activity_02","yes","no","no"
"36","activity_13","yes","no","no"
"36","activity_14","yes","no","no"
"37","activity_12","yes","no","no"
"37","noise_0","yes","no","no"
"37","activity_07","yes","no","no"
"37","activity_14","yes","no","no"
"37","activity_06","yes","no","no"
"37","activity_05","yes","no","no"
"37","activity_02","yes","no","no"
"37","activity_13","yes","no","no"
"38","activity_12","yes","yes","no"
"38","activity_07","yes","yes","no"
"38","activity_06","yes","yes","no"
"38","activity_05","yes","yes","no"
"38","activity_02","yes","yes","no"
"38","activity_13","yes","yes","no"
"38","activity_14","yes","yes","no"
"39","activity_12","no","yes","no"
"39","activity_07","no","yes","no"
"39","activity_06","no","yes","no"
"39","activity_05","no","yes","no"
"39","activity_02","no","yes","no"
"39","activity_13","no","yes","no"
"39","activity_14","no","yes","no"
"40","activity_12","no","no","no"
"40","activity_07","no","no","no"
"40","activity_06","no","no","no"
"40","activity_05","no","no","no"
"40","activity_02","no","no","no"
"40","activity_13","no","no","no"
"40","activity_14","no","no","no"
"41","activity_10","yes","yes","no"
"41","noise_1","yes","yes","no"
"41","activity_15","yes","yes","no"
"42","activity_02","yes","no","no"
"42","activity_10","yes","no","no"
"42","activity_03","yes","no","no"
"42","activity_02","yes","no","no"
"43","noise_4","no","no","no"
"43","activity_05","no","no","no"
"43","activity_04","no","no","no"
"43","activity_02","no","no","no"
"43","activity_05","no","no","no"
"44","activity_12","yes","no","no"
"44","activity_07","yes","no","no"
"44","activity_06","yes","no","no"
"44","activity_05","yes","no","no"
"44","activity_02","yes","no","no"
"44","activity_13","yes","no","no"
"44","activity_14","yes","no","no"
"45","activity_12","no","no","no"
"45","activity_07","no","no","no"
"45","activity_06","no","no","no"
"45","activity_05","no","no","no"
"45","activity_02","no","no","no"
"45","activity_13","no","no","no"
"45","activity_14","no","no","no"
"46","activity_02","no","yes","yes"
"46","activity_12","no","yes","yes"
"46","activity_06","no","yes","yes"
"46","activity_05","no","yes","yes"
"46","activity_02","no","yes","yes"
"46","activity_13","no","yes","yes"
"46","activity_14","no","yes","yes"
"47","activity_12","yes","yes","no"
"47","activity_07","yes","yes","no"
"47","activity_06","yes","yes","no"
