,0
0,16.3584489822
1,29.7008318901
2,33.308770895
3,29.9690320492
4,56.9795401096
5,24.4206900597
6,31.5691280365
7,38.6956579685
8,49.4300088882
9,76.0951149464
10,16.6454927921
11,25.0409548283
12,40.6469881535
13,36.5949060917
14,45.9413928986
15,18.6177690029
16,26.3080470562
17,29.8703558445
18,75.142742157
19,63.9791939259
20,40.2623360157
21,52.7061738968
22,38.847684145
23,34.8945469856
24,49.2781300545
25,32.075304985
26,46.7229399681
27,84.9559328556
28,76.94520998
29,69.5732300282
30,35.0913081169
31,39.0643630028
32,36.6918840408
33,34.2115929127
34,40.2001781464
35,46.3474121094
36,61.7635908127
37,119.81597209
38,123.176651001
39,98.5589940548
40,17.7886888981
41,30.2955379486
42,46.759747982
43,36.2433400154
44,49.6791348457
45,22.2530319691
46,35.7656900883
47,57.3857808113
48,114.523365974
49,235.756673098
50,19.9445619583
51,31.1229279041
52,31.9176909924
53,63.8025958538
54,37.4755780697
55,15.621088028
56,31.2529368401
57,56.1811029911
58,76.7946858406
59,62.2606921196
60,58.6522419453
61,50.1649320126
62,58.2121331692
63,45.5627188683
64,41.952780962
65,49.5651490688
66,106.530286074
67,267.326246023
68,191.243135929
69,195.101423025
70,27.35303092
71,42.7879099846
72,44.8164811134
73,56.2791230679
74,44.3004341125
